样品类型,编号,测量天数,剩磁(mT),温度(℃),相对湿度(%)
锈蚀钢筋,5,15,1.2722,11.5,80
锈蚀钢筋,5,22,0.6262,8.0,70
锈蚀钢筋,5,30,0.301,10.0,85
锈蚀钢筋,5,37,0.1756,14.0,85
锈蚀钢筋,5,44,0.0959,11.0,70
锈蚀钢筋,5,51,0.0518,13.0,80
锈蚀钢筋,5,58,0.0193,18.0,80
锈蚀钢筋,5,90,0.0006,20.0,80
锈蚀钢筋,6,0,5.3575,9.0,90
锈蚀钢筋,6,1,4.6704,9.0,90
锈蚀钢筋,6,2,4.0966,7.5,85
锈蚀钢筋,6,3,3.5933,7.5,85
锈蚀钢筋,6,4,3.3656,7.5,75
锈蚀钢筋,6,5,3.1429,8.5,80
锈蚀钢筋,6,6,2.9416,9.5,75
锈蚀钢筋,6,7,2.7542,8.5,75
锈蚀钢筋,6,8,2.585,9.0,70
锈蚀钢筋,6,9,2.4126,10.0,80
锈蚀钢筋,6,10,2.2467,9.0,85
锈蚀钢筋,6,11,2.0883,7.0,90
锈蚀钢筋,6,12,1.9454,8.0,85
锈蚀钢筋,6,13,1.8294,11.0,65
锈蚀钢筋,6,14,1.7116,10.5,75
锈蚀钢筋,6,15,1.5966,11.5,80
锈蚀钢筋,6,22,0.7859,8.0,70
锈蚀钢筋,6,30,0.3777,10.0,85
锈蚀钢筋,6,37,0.2204,14.0,85
锈蚀钢筋,6,44,0.1204,11.0,70
锈蚀钢筋,6,51,0.0651,13.0,80
锈蚀钢筋,6,58,0.0242,18.0,80
锈蚀钢筋,6,90,0.0008,20.0,80
锈蚀钢筋,7,0,2.5573,9.0,90
锈蚀钢筋,7,1,2.2293,9.0,90
锈蚀钢筋,7,2,1.9555,7.5,85
锈蚀钢筋,7,3,1.7152,7.5,85
锈蚀钢筋,7,4,1.6065,7.5,75
锈蚀钢筋,7,5,1.5002,8.5,80
锈蚀钢筋,7,6,1.4041,9.5,75
锈蚀钢筋,7,7,1.3147,8.5,75
锈蚀钢筋,7,8,1.2339,9.0,70
锈蚀钢筋,7,9,1.1516,10.0,80
锈蚀钢筋,7,10,1.0724,9.0,85
锈蚀钢筋,7,11,0.9968,7.0,90
锈蚀钢筋,7,12,0.9286,8.0,85
锈蚀钢筋,7,13,0.8733,11.0,65
锈蚀钢筋,7,14,0.817,10.5,75
锈蚀钢筋,7,15,0.7621,11.5,80
锈蚀钢筋,7,22,0.3751,8.0,70
锈蚀钢筋,7,30,0.1803,10.0,85
锈蚀钢筋,7,37,0.1052,14.0,85
锈蚀钢筋,7,44,0.0575,11.0,70
锈蚀钢筋,7,51,0.0311,13.0,80
锈蚀钢筋,7,58,0.0115,18.0,80
锈蚀钢筋,7,90,0.0004,20.0,80
锈蚀钢筋,8,0,2.9185,9.0,90
锈蚀钢筋,8,1,2.5442,9.0,90
锈蚀钢筋,8,2,2.2316,7.5,85
锈蚀钢筋,8,3,1.9575,7.5,85
锈蚀钢筋,8,4,1.8334,7.5,75
锈蚀钢筋,8,5,1.7121,8.5,80
锈蚀钢筋,8,6,1.6025,9.5,75
锈蚀钢筋,8,7,1.5004,8.5,75
锈蚀钢筋,8,8,1.4082,9.0,70
锈蚀钢筋,8,9,1.3143,10.0,80
锈蚀钢筋,8,10,1.2239,9.0,85
锈蚀钢筋,8,11,1.1376,7.0,90
锈蚀钢筋,8,12,1.0597,8.0,85
锈蚀钢筋,8,13,0.9966,11.0,65
锈蚀钢筋,8,14,0.9324,10.5,75
锈蚀钢筋,8,15,0.8697,11.5,80
锈蚀钢筋,8,22,0.4281,8.0,70
锈蚀钢筋,8,30,0.2058,10.0,85
锈蚀钢筋,8,37,0.1201,14.0,85
锈蚀钢筋,8,44,0.0656,11.0,70
锈蚀钢筋,8,51,0.0354,13.0,80
锈蚀钢筋,8,58,0.0132,18.0,80
锈蚀钢筋,8,90,0.0004,20.0,80
锈蚀钢筋,9,0,2.412,9.0,90
锈蚀钢筋,9,1,2.1026,9.0,90
锈蚀钢筋,9,2,1.8443,7.5,85
锈蚀钢筋,9,3,1.6177,7.5,85
锈蚀钢筋,9,4,1.5152,7.5,75
锈蚀钢筋,9,5,1.415,8.5,80
锈蚀钢筋,9,6,1.3243,9.5,75
锈蚀钢筋,9,7,1.24,8.5,75
锈蚀钢筋,9,8,1.1638,9.0,70
锈蚀钢筋,9,9,1.0862,10.0,80
锈蚀钢筋,9,10,1.0115,9.0,85
锈蚀钢筋,9,11,0.9401,7.0,90
锈蚀钢筋,9,12,0.8758,8.0,85
锈蚀钢筋,9,13,0.8236,11.0,65
锈蚀钢筋,9,14,0.7706,10.5,75
锈蚀钢筋,9,15,0.7188,11.5,80
锈蚀钢筋,9,22,0.3538,8.0,70
锈蚀钢筋,9,30,0.1701,10.0,85
锈蚀钢筋,9,37,0.0992,14.0,85
锈蚀钢筋,9,44,0.0542,11.0,70
锈蚀钢筋,9,51,0.0293,13.0,80
锈蚀钢筋,9,58,0.0109,18.0,80
锈蚀钢筋,9,90,0.0003,20.0,80
锈蚀钢筋,10,0,3.3531,9.0,90
锈蚀钢筋,10,1,2.9231,9.0,90
锈蚀钢筋,10,2,2.564,7.5,85
锈蚀钢筋,10,3,2.249,7.5,85
锈蚀钢筋,10,4,2.1064,7.5,75
锈蚀钢筋,10,5,1.9671,8.5,80
锈蚀钢筋,10,6,1.8411,9.5,75
锈蚀钢筋,10,7,1.7238,8.5,75
锈蚀钢筋,10,8,1.6179,9.0,70
锈蚀钢筋,10,9,1.51,10.0,80
锈蚀钢筋,10,10,1.4061,9.0,85
锈蚀钢筋,10,11,1.307,7.0,90
锈蚀钢筋,10,12,1.2175,8.0,85
锈蚀钢筋,10,13,1.145,11.0,65
锈蚀钢筋,10,14,1.0713,10.5,75
锈蚀钢筋,10,15,0.9993,11.5,80
锈蚀钢筋,10,22,0.4919,8.0,70
锈蚀钢筋,10,30,0.2364,10.0,85
锈蚀钢筋,10,37,0.138,14.0,85
锈蚀钢筋,10,44,0.0753,11.0,70
锈蚀钢筋,10,51,0.0407,13.0,80
锈蚀钢筋,10,58,0.0151,18.0,80
锈蚀钢筋,10,90,0.0005,20.0,80
